"날짜","종가","시가","고가","저가","거래량","변동 %"
"2013- 09- 27","537.50","535.21","537.70","535.04","293.66K","0.88%"
"2013- 09- 26","532.83","528.59","532.96","528.59","268.92K","1.05%"
"2013- 09- 25","527.27","528.95","529.56","525.51","284.32K","0.00%"
"2013- 09- 24","527.29","527.31","528.89","523.84","304.12K","0.04%"
"2013- 09- 23","527.07","528.91","529.98","526.77","258.52K","-0.01%"
"2013- 09- 17","527.11","527.54","528.17","525.76","221.75K","0.17%"
"2013- 09- 16","526.20","528.84","529.40","526.20","245.49K","-0.88%"
"2013- 09- 13","530.89","530.69","531.76","530.34","247.19K","0.25%"
"2013- 09- 12","529.58","530.87","532.24","527.66","290.18K","0.05%"
"2013- 09- 11","529.34","526.38","529.34","526.28","278.28K","1.18%"
"2013- 09- 10","523.15","523.85","524.23","520.53","317.32K","0.39%"
"2013- 09- 09","521.11","526.67","526.85","520.22","469.20K","-0.51%"
"2013- 09- 06","523.77","529.75","530.14","523.03","457.62K","-0.81%"
"2013- 09- 05","528.06","529.19","529.67","527.98","351.63K","0.36%"
"2013- 09- 04","526.16","526.95","527.24","525.23","348.33K","0.05%"
"2013- 09- 03","525.89","527.71","529.20","525.70","343.82K","0.14%"
"2013- 09- 02","525.18","518.62","525.19","518.62","315.98K","1.63%"
"2013- 08- 30","516.74","522.11","523.04","515.83","399.57K","-0.70%"
"2013- 08- 29","520.37","520.93","523.19","520.36","301.61K","0.57%"
"2013- 08- 28","517.44","514.59","519.80","511.65","387.62K","-1.33%"
"2013- 08- 27","524.39","533.50","533.94","523.92","384.92K","-1.75%"
"2013- 08- 26","533.73","532.43","533.91","532.37","332.48K","0.86%"
"2013- 08- 23","529.19","523.55","529.38","523.55","321.63K","2.23%"
"2013- 08- 22","517.64","524.87","525.06","514.64","461.32K","-2.43%"
"2013- 08- 21","530.54","540.21","540.71","523.93","503.87K","-1.31%"
"2013- 08- 20","537.57","550.00","551.46","537.56","516.32K","-2.35%"
"2013- 08- 19","550.49","550.75","551.22","549.35","396.15K","0.31%"
"2013- 08- 16","548.79","544.77","549.79","544.60","397.04K","-0.38%"
"2013- 08- 14","550.87","553.60","554.38","550.87","419.74K","0.00%"
"2013- 08- 13","550.85","552.06","552.52","548.51","459.78K","0.11%"
"2013- 08- 12","550.25","555.15","555.46","549.13","376.52K","-0.84%"
"2013- 08- 09","554.93","556.79","557.10","553.65","349.81K","-0.07%"
"2013- 08- 08","555.30","556.93","558.01","555.06","341.18K","0.10%"
"2013- 08- 07","554.73","556.94","559.14","554.73","352.90K","-0.47%"
"2013- 08- 06","557.36","558.38","558.95","554.98","347.13K","0.14%"
"2013- 08- 05","556.60","553.68","556.92","553.32","342.53K","0.88%"
"2013- 08- 02","551.76","553.24","554.65","549.67","336.34K","0.41%"
"2013- 08- 01","549.52","557.68","557.79","549.52","328.01K","-0.86%"
"2013- 07- 31","554.31","548.72","554.65","547.78","354.85K","1.44%"
"2013- 07- 30","546.43","542.86","546.43","542.64","366.01K","1.01%"
"2013- 07- 29","540.98","547.26","547.69","540.98","347.42K","-0.79%"
"2013- 07- 26","545.31","543.87","545.33","542.51","326.52K","0.62%"
"2013- 07- 25","541.94","544.75","545.49","541.94","369.44K","-0.31%"
"2013- 07- 24","543.60","543.44","544.09","541.56","358.25K","0.36%"
"2013- 07- 23","541.64","542.76","544.13","540.86","307.93K","0.09%"
"2013- 07- 22","541.14","543.66","544.83","541.14","326.04K","-0.13%"
"2013- 07- 19","541.87","545.43","546.08","540.32","316.48K","0.06%"
"2013- 07- 18","541.56","544.02","544.30","541.56","327.81K","-0.05%"
"2013- 07- 17","541.82","539.08","543.28","537.92","326.26K","0.76%"
"2013- 07- 16","537.72","533.77","537.72","533.36","339.85K","1.14%"
"2013- 07- 15","531.67","534.23","535.13","529.27","367.03K","-0.15%"
"2013- 07- 12","532.47","530.37","532.48","528.23","398.83K","0.99%"
"2013- 07- 11","527.25","520.04","527.26","520.04","368.64K","2.25%"
"2013- 07- 10","515.64","521.41","521.88","515.64","422.81K","-0.71%"
"2013- 07- 09","519.34","519.08","519.93","513.84","425.64K","0.68%"
"2013- 07- 08","515.85","526.48","528.50","515.85","330.97K","-1.82%"
"2013- 07- 05","525.40","528.04","529.75","522.77","422.88K","0.03%"
"2013- 07- 04","525.22","524.48","526.45","517.51","384.12K","0.75%"
"2013- 07- 03","521.31","528.01","530.94","521.05","383.11K","-1.06%"
"2013- 07- 02","526.92","531.99","532.38","525.28","345.25K","-0.17%"
"2013- 07- 01","527.81","522.51","528.68","522.40","323.10K","1.69%"
"2013- 06- 28","519.06","516.63","519.65","514.63","373.69K","1.33%"
"2013- 06- 27","512.25","501.06","512.25","501.01","404.48K","3.89%"
"2013- 06- 26","493.07","490.45","495.02","482.36","382.78K","2.52%"
"2013- 06- 25","480.96","505.28","508.76","478.68","539.03K","-5.44%"
"2013- 06- 24","508.65","523.50","523.59","508.65","379.86K","-2.35%"
"2013- 06- 21","520.89","513.58","520.89","507.30","418.34K","-0.89%"
"2013- 06- 20","525.59","524.88","531.96","521.02","445.11K","-1.10%"
"2013- 06- 19","531.41","536.51","537.19","531.30","396.65K","-0.53%"
